% instrument: depth depth
% columns: elapsed_t(1,0) depth(100,0) 
% container: sc0002a
% comment: SG272
% start: 2 3 126 19 35 58 305
12170 142 
10003 7 
9992 2 
10000 10 
10010 5 
9995 20 
9999 25 
10001 22 
10007 27 
17642 234 
9992 176 
12790 188 
9998 153 
10008 164 
10007 166 
9998 168 
10010 170 
10003 178 
10004 182 
10005 185 
10006 184 
10004 189 
9997 190 
10007 200 
10006 200 
10004 206 
10004 211 
10005 208 
10003 195 
9999 186 
10004 191 
10004 185 
10003 183 
10003 184 
14996 236 
10004 143 
10001 141 
10000 141 
10006 135 
9999 131 
10004 140 
9299 112 
10001 74 
10003 64 
9997 52 
10004 49 
9998 53 
10005 54 
9998 59 
11005 59 
8990 42 
9999 51 
10003 47 
% stop: 2 3 126 19 45 15.897
% samples: 53
% ontime: 0
