% instrument: depth depth
% columns: elapsed_t(1,0) depth(100,0) 
% container: sc0002b
% comment: SG272
% start: 2 3 126 19 45 24 418
16120 6697 
9998 -30 
9998 -37 
10003 -33 
9990 -39 
10008 -42 
9999 -45 
10000 -50 
10003 -46 
9993 -52 
10008 -57 
12686 -84 
10010 -74 
10009 -76 
9995 -75 
10006 -74 
10003 -78 
10002 -81 
10003 -74 
10002 -73 
10005 -73 
10003 -69 
10005 -67 
10002 -65 
10001 -65 
9306 -61 
9996 -64 
10002 -66 
10002 -64 
9998 -68 
10000 -70 
10005 -75 
10688 -85 
10004 -77 
10003 -81 
10004 -76 
10000 -81 
10005 -77 
9995 -85 
10002 -84 
10003 -83 
10001 -83 
10005 -83 
10000 -80 
10002 -84 
9308 -75 
9999 -78 
9998 -77 
10010 -79 
11191 -97 
9309 -81 
9991 -91 
9999 -90 
9999 -96 
15692 -146 
10005 -95 
10001 -95 
10000 -97 
9997 -95 
9998 -98 
10007 -94 
10000 -98 
10002 -92 
9998 -102 
10004 -98 
9998 -100 
10005 -101 
9311 -91 
10693 -121 
10012 -119 
10003 -123 
9995 -121 
10003 -134 
10003 -121 
14996 -165 
10003 -102 
9992 -102 
10000 -112 
10007 -87 
9994 -85 
10004 -101 
9998 -29 
10001 0 
